date,year,month,month_name,day,weekday_name,weekday_number
2021-03-30,2021,3,March,30,Tuesday,2
2021-03-31,2021,3,March,31,Wednesday,3
2021-04-01,2021,4,April,1,Thursday,4
2021-04-02,2021,4,April,2,Friday,5
2021-04-03,2021,4,April,3,Saturday,6
2021-04-04,2021,4,April,4,Sunday,0
2021-04-05,2021,4,April,5,Monday,1
2021-04-06,2021,4,April,6,Tuesday,2
2021-04-07,2021,4,April,7,Wednesday,3
2021-04-08,2021,4,April,8,Thursday,4
2021-04-09,2021,4,April,9,Friday,5
2021-04-10,2021,4,April,10,Saturday,6
2021-04-11,2021,4,April,11,Sunday,0
2021-04-12,2021,4,April,12,Monday,1
2021-04-13,2021,4,April,13,Tuesday,2
2021-04-14,2021,4,April,14,Wednesday,3
2021-04-15,2021,4,April,15,Thursday,4
2021-04-16,2021,4,April,16,Friday,5
2021-04-17,2021,4,April,17,Saturday,6
2021-04-18,2021,4,April,18,Sunday,0
2021-04-19,2021,4,April,19,Monday,1
2021-04-20,2021,4,April,20,Tuesday,2
2021-04-21,2021,4,April,21,Wednesday,3
2021-04-22,2021,4,April,22,Thursday,4
2021-04-23,2021,4,April,23,Friday,5
2021-04-24,2021,4,April,24,Saturday,6
2021-04-25,2021,4,April,25,Sunday,0
2021-04-26,2021,4,April,26,Monday,1
2021-04-27,2021,4,April,27,Tuesday,2
2021-04-28,2021,4,April,28,Wednesday,3
2021-04-29,2021,4,April,29,Thursday,4
2021-04-30,2021,4,April,30,Friday,5
2021-05-01,2021,5,May,1,Saturday,6
2021-05-02,2021,5,May,2,Sunday,0
2021-05-03,2021,5,May,3,Monday,1
2021-05-04,2021,5,May,4,Tuesday,2
2021-05-05,2021,5,May,5,Wednesday,3
2021-05-06,2021,5,May,6,Thursday,4
2021-05-07,2021,5,May,7,Friday,5
2021-05-08,2021,5,May,8,Saturday,6
2021-05-09,2021,5,May,9,Sunday,0
2021-05-10,2021,5,May,10,Monday,1
2021-05-11,2021,5,May,11,Tuesday,2
2021-05-12,2021,5,May,12,Wednesday,3
2021-05-13,2021,5,May,13,Thursday,4
2021-05-14,2021,5,May,14,Friday,5
2021-05-15,2021,5,May,15,Saturday,6
2021-05-16,2021,5,May,16,Sunday,0
2021-05-17,2021,5,May,17,Monday,1
2021-05-18,2021,5,May,18,Tuesday,2
2021-05-19,2021,5,May,19,Wednesday,3
2021-05-20,2021,5,May,20,Thursday,4
2021-05-21,2021,5,May,21,Friday,5
2021-05-22,2021,5,May,22,Saturday,6
2021-05-23,2021,5,May,23,Sunday,0
2021-05-24,2021,5,May,24,Monday,1
2021-05-25,2021,5,May,25,Tuesday,2
2021-05-26,2021,5,May,26,Wednesday,3
2021-05-27,2021,5,May,27,Thursday,4
2021-05-28,2021,5,May,28,Friday,5
2021-05-29,2021,5,May,29,Saturday,6
2021-05-30,2021,5,May,30,Sunday,0
2021-05-31,2021,5,May,31,Monday,1
